import time: self [us] | cumulative | imported package
import time:       220 |        220 | winreg
import time:       394 |        394 |   _io
import time:        59 |         59 |   marshal
import time:       179 |        179 |   nt
import time:      1507 |       2138 | _frozen_importlib_external
import time:       656 |        656 |   time
import time:       531 |       1186 | zipimport
import time:        54 |         54 |     _codecs
import time:       605 |        658 |   codecs
import time:      1396 |       1396 |   encodings.aliases
import time:      2813 |       4865 | encodings
import time:       621 |        621 | encodings.utf_8
import time:       633 |        633 | encodings.cp1252
import time:        63 |         63 | _signal
import time:        60 |         60 |     _abc
import time:       264 |        324 |   abc
import time:       325 |        648 | io
import time:        64 |         64 |       _stat
import time:       213 |        276 |     stat
import time:       765 |        765 |     _collections_abc
import time:        43 |         43 |       genericpath
import time:       102 |        102 |       _winapi
import time:       339 |        483 |     ntpath
import time:       622 |       2145 |   os
import time:        64 |         64 |   _sitebuiltins
import time:       685 |        685 |   encodings.utf_8_sig
import time:       812 |        812 |     __future__
import time:       753 |        753 |         warnings
import time:       808 |       1560 |       importlib
import time:       174 |       1733 |     importlib.machinery
import time:       840 |        840 |       importlib._abc
import time:       777 |        777 |       types
import time:       362 |       1979 |     importlib.util
import time:       235 |        235 |     itertools
import time:       284 |        284 |           posix
import time:       191 |        475 |         posixpath
import time:        91 |         91 |               _operator
import time:      1107 |       1198 |             operator
import time:       599 |        599 |                 keyword
import time:       644 |        644 |                 reprlib
import time:        83 |         83 |                 _collections
import time:      1863 |       3188 |               collections
import time:        74 |         74 |               _functools
import time:      1450 |       4712 |             functools
import time:      2186 |       8095 |           enum
import time:       120 |        120 |             _sre
import time:       855 |        855 |               re._constants
import time:      1050 |       1904 |             re._parser
import time:      1172 |       1172 |             re._casefix
import time:      2299 |       5494 |           re._compiler
import time:       829 |        829 |           copyreg
import time:      1560 |      15977 |         re
import time:       860 |      17312 |       fnmatch
import time:        94 |         94 |       errno
import time:      1135 |       1135 |         urllib
import time:       119 |        119 |         math
import time:      2524 |       2524 |         ipaddress
import time:      3838 |       7614 |       urllib.parse
import time:      1500 |      26519 |     pathlib
import time:      4102 |      35378 |   __editable___agent_cascade_0_0_34_finder
import time:       965 |        965 |   __editable___qwen_agent_0_0_34_finder
import time:       881 |        881 |   __editable___qwen_tts_0_0_4_finder
import time:      1166 |       1166 |   _distutils_hack
import time:       970 |        970 |     pywin32_system32
import time:      2173 |       3143 |   pywin32_bootstrap
import time:       538 |        538 |   sitecustomize
import time:       540 |        540 |   usercustomize
import time:      5352 |      50852 | site
import time:       818 |        818 |           _weakrefset
import time:      1243 |       2060 |         weakref
import time:      1606 |       3665 |       copy
import time:        72 |         72 |             _json
import time:      1009 |       1081 |           json.scanner
import time:      1055 |       2135 |         json.decoder
import time:       971 |        971 |         json.encoder
import time:      1337 |       4443 |       json
import time:        64 |         64 |           _bisect
import time:      1070 |       1134 |         bisect
import time:        54 |         54 |         _random
import time:        55 |         55 |         _sha2
import time:      1710 |       2951 |       random
import time:       890 |        890 |         collections.abc
import time:       820 |        820 |             token
import time:        60 |         60 |             _tokenize
import time:      1707 |       2586 |           tokenize
import time:      1004 |       3590 |         linecache
import time:      1942 |       1942 |         textwrap
import time:      1503 |       1503 |         contextlib
import time:      2172 |      10095 |       traceback
import time:        96 |         96 |         _typing
import time:      3821 |       3916 |       typing
import time:      4290 |       4290 |               _hashlib
import time:       106 |        106 |               _blake2
import time:      1304 |       5699 |             hashlib
import time:      1320 |       1320 |             threading
import time:       828 |        828 |                     _ast
import time:      1585 |       2413 |                   ast
import time:        58 |         58 |                       _opcode
import time:      1272 |       1330 |                     opcode
import time:      1846 |       3176 |                   dis
import time:      2689 |       8276 |                 inspect
import time:      1252 |       9528 |               dataclasses
import time:       977 |      10504 |             pprint
import time:       665 |        665 |                   pydantic.version
import time:      1029 |       1694 |                 pydantic._migration
import time:      2195 |       2195 |                     _socket
import time:      3681 |       5875 |                   typing_extensions
import time:      1390 |       7264 |                 pydantic.errors
import time:      1583 |      10541 |               pydantic
import time:       152 |        152 |                     _datetime
import time:      1174 |       1325 |                   datetime
import time:      1553 |       2878 |                 pydantic_core._pydantic_core
import time:       935 |        935 |                       numbers
import time:      1220 |       2155 |                     _decimal
import time:       890 |       3045 |                   decimal
import time:      1333 |       1333 |                           concurrent
import time:        91 |         91 |                                 _string
import time:      1656 |       1746 |                               string
import time:        64 |         64 |                               atexit
import time:      3487 |       5297 |                             logging
import time:      1313 |       6610 |                           concurrent.futures._base
import time:      1655 |       9597 |                         concurrent.futures
import time:        61 |         61 |                           _heapq
import time:       947 |       1008 |                         heapq
import time:       869 |        869 |                             select
import time:      1438 |       2306 |                           selectors
import time:      1623 |       3929 |                         socket
import time:        68 |         68 |                             _locale
import time:      1487 |       1555 |                           locale
import time:       909 |        909 |                           signal
import time:       573 |        573 |                           fcntl
import time:        62 |         62 |                           msvcrt
import time:      1710 |       4806 |                         subprocess
import time:      1625 |       1625 |                           _ssl
import time:       118 |        118 |                               _struct
import time:      1011 |       1128 |                             struct
import time:        90 |         90 |                             binascii
import time:      1433 |       2650 |                           base64
import time:      3078 |       7352 |                         ssl
import time:       811 |        811 |                         asyncio.constants
import time:       584 |        584 |                         asyncio.coroutines
import time:        46 |         46 |                             _contextvars
import time:       780 |        825 |                           contextvars
import time:       626 |        626 |                           asyncio.format_helpers
import time:       589 |        589 |                             asyncio.base_futures
import time:       596 |        596 |                             asyncio.exceptions
import time:       526 |        526 |                             asyncio.base_tasks
import time:      1451 |       3161 |                           _asyncio
import time:      2253 |       6864 |                         asyncio.events
import time:       597 |        597 |                         asyncio.futures
import time:       534 |        534 |                         asyncio.protocols
import time:       648 |        648 |                           asyncio.transports
import time:       453 |        453 |                           asyncio.log
import time:      1241 |       2341 |                         asyncio.sslproto
import time:       473 |        473 |                             asyncio.mixins
import time:       902 |       1374 |                           asyncio.locks
import time:      2005 |       2005 |                             asyncio.timeouts
import time:      1122 |       3127 |                           asyncio.tasks
import time:      1111 |       5611 |                         asyncio.staggered
import time:       845 |        845 |                         asyncio.trsock
import time:      4187 |      49063 |                       asyncio.base_events
import time:       790 |        790 |                       asyncio.runners
import time:       656 |        656 |                       asyncio.queues
import time:       915 |        915 |                       asyncio.streams
import time:       780 |        780 |                       asyncio.subprocess
import time:       709 |        709 |                       asyncio.taskgroups
import time:       882 |        882 |                       asyncio.threads
import time:      1133 |       1133 |                         _overlapped
import time:       767 |        767 |                         asyncio.base_subprocess
import time:      1068 |       1068 |                         asyncio.proactor_events
import time:      1394 |       1394 |                         asyncio.selector_events
import time:       277 |        277 |                               zlib
import time:       831 |        831 |                                 _compression
import time:       725 |        725 |                                 _bz2
import time:      1377 |       2931 |                               bz2
import time:       839 |        839 |                                 _lzma
import time:       989 |       1827 |                               lzma
import time:      2112 |       7145 |                             shutil
import time:      1091 |       8236 |                           tempfile
import time:       947 |       9183 |                         asyncio.windows_utils
import time:      2332 |      15875 |                       asyncio.windows_events
import time:      2578 |      72244 |                     asyncio
import time:       190 |      72434 |                   asyncio.coroutines
import time:     11994 |      87471 |                 pydantic_core.core_schema
import time:      1833 |      92181 |               pydantic_core
import time:       897 |        897 |               pydantic._internal
import time:       753 |        753 |                   pydantic._internal._internal_dataclass
import time:      2597 |       3350 |                 pydantic.aliases
import time:      1818 |       1818 |                 pydantic.config
import time:       718 |        718 |                 pydantic.warnings
import time:      1774 |       7659 |               pydantic._internal._config
import time:      1523 |       1523 |                           sysconfig
import time:      1614 |       3137 |                         zoneinfo._tzpath
import time:       896 |        896 |                         zoneinfo._common
import time:       683 |        683 |                         _zoneinfo
import time:      1701 |       6416 |                       zoneinfo
import time:      1109 |       7525 |                     pydantic._internal._typing_extra
import time:       842 |       8366 |                   pydantic._internal._repr
import time:      1170 |       9536 |                 pydantic._internal._core_utils
import time:      5893 |      15429 |               pydantic._internal._decorators
import time:       824 |        824 |                 pydantic._internal._docs_extraction
import time:      1746 |       1746 |                 pydantic._internal._import_utils
import time:      1404 |       3974 |               pydantic._internal._fields
import time:      1197 |       1197 |               pydantic._internal._forward_ref
import time:      1605 |       1605 |                 pydantic._internal._utils
import time:      1637 |       3242 |               pydantic._internal._generics
import time:      1282 |       1282 |                   pydantic.plugin
import time:      1323 |       2605 |                 pydantic.plugin._schema_validator
